Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_1/part_2/stage2s
Found 6 empty staffs at page 1, system 1
Found 2 empty staffs at page 1, system 2
Found 2 empty staffs at page 2, system 1
Found 2 empty staffs at page 2, system 2
Found 3 empty staffs at page 4, system 1
Found 5 empty staffs at page 5, system 2
Found 2 empty staffs at page 6, system 1
Found 2 empty staffs at page 6, system 2
Found 2 empty staffs at page 7, system 1
Found 2 empty staffs at page 7, system 2
Found 1 empty staffs at page 9, system 1
Found 2 empty staffs at page 9, system 2
