Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_8/part_1/stage2s
Found 8 empty staffs at page 6, system 1
Found 2 empty staffs at page 7, system 1
Found 1 empty staffs at page 15, system 1
Found 1 empty staffs at page 16, system 1
Found 1 empty staffs at page 17, system 1
Found 5 empty staffs at page 18, system 1
Found 3 empty staffs at page 19, system 1
Found 1 empty staffs at page 26, system 1
Found 8 empty staffs at page 30, system 1
Found 2 empty staffs at page 31, system 1
Found 5 empty staffs at page 38, system 1
Found 3 empty staffs at page 39, system 1
