Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_8/part_2/stage2s
Found 2 empty staffs at page 1, system 1
Found 1 empty staffs at page 2, system 1
Found 1 empty staffs at page 3, system 1
Found 2 empty staffs at page 4, system 1
Found 1 empty staffs at page 6, system 1
Found 1 empty staffs at page 7, system 1
Found 1 empty staffs at page 8, system 1
Found 2 empty staffs at page 9, system 1
Found 2 empty staffs at page 10, system 1
Found 1 empty staffs at page 13, system 1
Found 2 empty staffs at page 14, system 1
