Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_8/part_4/stage2s
Found 11 empty staffs at page 1, system 1
Found 13 empty staffs at page 2, system 1
Found 1 empty staffs at page 7, system 1
Found 3 empty staffs at page 8, system 1
Found 5 empty staffs at page 9, system 1
Found 11 empty staffs at page 13, system 1
Found 3 empty staffs at page 14, system 1
Found 8 empty staffs at page 15, system 1
Found 2 empty staffs at page 16, system 1
Found 5 empty staffs at page 17, system 1
Found 1 empty staffs at page 20, system 1
Found 3 empty staffs at page 21, system 1
Found 1 empty staffs at page 28, system 1
Found 3 empty staffs at page 29, system 1
Found 4 empty staffs at page 30, system 1
Found 8 empty staffs at page 34, system 1
Found 5 empty staffs at page 35, system 1
Found 6 empty staffs at page 36, system 1
Found 2 empty staffs at page 37, system 1
Found 1 empty staffs at page 38, system 1
Found 3 empty staffs at page 44, system 1
Found 2 empty staffs at page 45, system 1
Found 3 empty staffs at page 46, system 1
Found 3 empty staffs at page 47, system 1
Found 1 empty staffs at page 50, system 1
Found 1 empty staffs at page 58, system 1
