Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_5/part_4/stage2s
Found 1 empty staffs at page 5, system 1
Found 1 empty staffs at page 6, system 1
Found 1 empty staffs at page 8, system 1
Found 1 empty staffs at page 9, system 1
Found 1 empty staffs at page 15, system 1
Found 1 empty staffs at page 16, system 1
Found 3 empty staffs at page 29, system 1
Found 1 empty staffs at page 30, system 1
Found 1 empty staffs at page 31, system 1
Found 1 empty staffs at page 32, system 1
Found 1 empty staffs at page 33, system 1
Found 3 empty staffs at page 34, system 1
Found 3 empty staffs at page 36, system 1
Found 3 empty staffs at page 38, system 1
Found 4 empty staffs at page 39, system 1
Found 3 empty staffs at page 41, system 1
