Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/holst_the_planets/Holst_The_Planets_fixed.mxl
Found 11 empty staffs at page 177, system 1
Found 14 empty staffs at page 178, system 1
Found 7 empty staffs at page 179, system 1
Found 8 empty staffs at page 180, system 1
Found 9 empty staffs at page 181, system 1
Found 15 empty staffs at page 182, system 1
Found 18 empty staffs at page 183, system 1
Found 4 empty staffs at page 184, system 1
Found 3 empty staffs at page 185, system 1
Found 7 empty staffs at page 186, system 1
Found 13 empty staffs at page 187, system 1
