Loading score found at: /home/mathias/Documents/thesis/OMR-measure-segmenter-data/musicdata/beethoven_symphony_1/part_4/stage2s
Found 6 empty staffs at page 1, system 2
Found 1 empty staffs at page 3, system 1
Found 1 empty staffs at page 3, system 2
Found 2 empty staffs at page 4, system 1
Found 4 empty staffs at page 6, system 1
Found 7 empty staffs at page 6, system 2
Found 3 empty staffs at page 7, system 1
Found 6 empty staffs at page 9, system 1
Found 1 empty staffs at page 9, system 2
Found 1 empty staffs at page 10, system 1
Found 2 empty staffs at page 10, system 2
Found 3 empty staffs at page 12, system 2
Found 2 empty staffs at page 13, system 2
